date,nom entreprise,valeur début,valeur fin
2025-01-02,Accor,45.84,45.86
2025-01-03,Accor,45.74,44.75
2025-01-06,Accor,44.92,45.32
2025-01-07,Accor,45.26,45.24
2025-01-08,Accor,45.32,45.43
2025-01-09,Accor,45.15,45.95
2025-01-10,Accor,45.98,45.96
2025-01-13,Accor,45.74,45.56
2025-01-14,Accor,45.93,46.23
2025-01-15,Accor,46.24,46.53
2025-01-16,Accor,46.71,46.37
2025-01-17,Accor,46.5,46.76
2025-01-20,Accor,46.71,46.96
2025-01-21,Accor,46.96,47.02
2025-01-22,Accor,47.19,47.73
2025-01-23,Accor,47.68,47.27
2025-01-24,Accor,47.48,47.66
2025-01-27,Accor,47.34,47.57
2025-01-28,Accor,47.57,48.13
2025-01-29,Accor,48.24,48.04
2025-01-30,Accor,48.17,48.22
2025-01-31,Accor,48.19,48.42
2025-02-03,Accor,47.27,47.77
2025-02-04,Accor,48.08,48.02
2025-02-05,Accor,47.86,47.94
2025-02-06,Accor,48.03,48.62
2025-02-07,Accor,48.83,48.56
2025-02-10,Accor,48.75,49.02
2025-02-11,Accor,48.67,48.37
2025-02-12,Accor,48.53,48.57
2025-02-13,Accor,49.14,48.58
2025-02-14,Accor,48.57,49.1
2025-02-17,Accor,49.14,48.79
2025-02-18,Accor,48.79,48.2
2025-02-19,Accor,47.86,47.24
2025-02-20,Accor,47.45,45.61
2025-02-21,Accor,46.06,45.18
2025-02-24,Accor,44.74,45.31
2025-02-25,Accor,45.17,45.53
2025-02-26,Accor,45.64,46.84
2025-02-27,Accor,46.27,46.79
2025-02-28,Accor,46.39,46.76
2025-03-03,Accor,46.59,47.31
2025-03-04,Accor,46.74,45.57
2025-03-05,Accor,46.32,46.38
2025-03-06,Accor,47.1,45.78
2025-03-07,Accor,45.27,45.33
2025-03-10,Accor,45.64,44.69
2025-03-11,Accor,44.55,42.79
2025-03-12,Accor,43.33,43.53
2025-03-13,Accor,43.26,43.01
2025-03-14,Accor,42.97,43.48
2025-03-17,Accor,43.49,44.27
2025-03-18,Accor,44.64,43.73
2025-03-19,Accor,43.74,44.12
2025-03-20,Accor,43.98,43.65
2025-03-21,Accor,43.08,42.71
2025-03-24,Accor,43.35,42.91
